order_id,customer_id,order_date,status,total,product_id,shipping_method,tracking_number,estimated_delivery,actual_delivery,notes
ORD10001,CUST001,2024-01-10,delivered,149.99,PROD001,express,1Z999AA10123456784,2024-01-13,2024-01-12,Delivered early
ORD10002,CUST002,2024-01-11,shipped,89.50,PROD002,standard,1Z999AA10123456785,2024-01-18,,In transit
ORD10003,CUST003,2024-01-12,processing,259.00,PROD003,express,,,Awaiting payment confirmation
ORD10004,CUST004,2024-01-13,delivered,45.99,PROD004,standard,1Z999AA10123456786,2024-01-20,2024-01-19,
ORD10005,CUST005,2024-01-14,cancelled,199.00,PROD005,express,,,Customer requested cancellation
ORD10006,CUST001,2024-01-15,shipped,75.00,PROD006,priority,1Z999AA10123456787,2024-01-18,,
ORD10007,CUST006,2024-01-16,delivered,320.00,PROD007,express,1Z999AA10123456788,2024-01-19,2024-01-18,Signature required
ORD10008,CUST007,2024-01-17,processing,55.50,PROD008,standard,,,Preparing for shipment
ORD10009,CUST008,2024-01-18,shipped,180.00,PROD009,priority,1Z999AA10123456789,2024-01-21,,
ORD10010,CUST009,2024-01-19,delivered,99.99,PROD010,standard,1Z999AA10123456790,2024-01-26,2024-01-25,
ORD10011,CUST010,2024-01-20,pending,450.00,PROD001,express,,,Awaiting stock
ORD10012,CUST002,2024-01-21,shipped,65.00,PROD002,standard,1Z999AA10123456791,2024-01-28,,
ORD10013,CUST011,2024-01-22,delivered,125.00,PROD003,priority,1Z999AA10123456792,2024-01-25,2024-01-24,
ORD10014,CUST012,2024-01-23,processing,89.99,PROD004,standard,,,Payment verified
ORD10015,CUST013,2024-01-24,shipped,210.00,PROD005,express,1Z999AA10123456793,2024-01-27,,
ORD10016,CUST014,2024-01-25,delivered,35.50,PROD006,standard,1Z999AA10123456794,2024-02-01,2024-01-31,
ORD10017,CUST015,2024-01-26,refunded,175.00,PROD007,priority,1Z999AA10123456795,2024-01-29,2024-01-28,Returned damaged
ORD10018,CUST016,2024-01-27,shipped,299.00,PROD008,express,1Z999AA10123456796,2024-01-30,,
ORD10019,CUST017,2024-01-28,processing,42.00,PROD009,standard,,,Label created
ORD10020,CUST018,2024-01-29,delivered,550.00,PROD010,priority,1Z999AA10123456797,2024-02-01,2024-01-31,
ORD10021,CUST019,2024-01-30,pending,85.00,PROD001,standard,,,Backordered
ORD10022,CUST020,2024-01-31,shipped,160.00,PROD002,express,1Z999AA10123456798,2024-02-03,,
ORD10023,CUST001,2024-02-01,processing,95.00,PROD003,priority,,,Preparing shipment
ORD10024,CUST021,2024-02-02,shipped,225.00,PROD004,express,1Z999AA10123456799,2024-02-05,,Priority handling
ORD10025,CUST003,2024-02-03,delivered,78.50,PROD005,standard,1Z999AA10123456800,2024-02-10,2024-02-09,
