product_id,name,category,subcategory,price,stock_status,rating,warranty_months,returnable,description,common_issues,troubleshooting_steps
PROD001,SmartWatch Pro X,Electronics,Wearables,299.99,in_stock,4.5,24,true,Premium smartwatch with health tracking fitness modes and GPS,"Battery drain,sync issues,screen unresponsive","1. Restart watch 2. Update firmware 3. Re-pair with phone 4. Factory reset"
PROD002,Wireless Earbuds Elite,Electronics,Audio,149.99,in_stock,4.3,12,true,Noise-cancelling wireless earbuds with 8hr battery,"One earbud not working,charging case issue,connectivity drops","1. Clean charging contacts 2. Reset earbuds 3. Forget and re-pair 4. Check for firmware update"
PROD003,Smart Home Hub,Electronics,Smart Home,199.99,in_stock,4.2,24,true,Central hub for controlling all smart home devices,"Devices not connecting,slow response,offline status","1. Check WiFi signal 2. Power cycle hub 3. Re-add devices 4. Update hub firmware"
PROD004,4K Streaming Device,Electronics,Entertainment,49.99,in_stock,4.6,12,true,Stream 4K content from all major platforms,"Buffering,remote not working,no audio","1. Check internet speed 2. Replace remote batteries 3. Check HDMI connection 4. Factory reset"
PROD005,Portable Charger 20000mAh,Electronics,Accessories,39.99,in_stock,4.4,18,true,High-capacity portable charger with fast charging,"Not charging,slow charging,overheating","1. Use original cable 2. Clean ports 3. Let cool down 4. Try different outlet"
PROD006,Laptop Stand Ergonomic,Office,Furniture,79.99,in_stock,4.7,36,true,Adjustable aluminum laptop stand for better posture,"Wobbling,height adjustment stuck,scratching laptop","1. Tighten screws 2. Apply lubricant to joints 3. Use protective pad"
PROD007,Mechanical Keyboard RGB,Electronics,Peripherals,129.99,in_stock,4.5,24,true,Mechanical keyboard with customizable RGB lighting,"Keys sticking,LED not working,software issues","1. Clean under keycaps 2. Update software 3. Check USB connection 4. Reset to defaults"
PROD008,Wireless Mouse Ergonomic,Electronics,Peripherals,59.99,in_stock,4.4,24,true,Ergonomic wireless mouse with adjustable DPI,"Cursor jumping,connection drops,scroll wheel issue","1. Replace batteries 2. Clean sensor 3. Re-pair with receiver 4. Update drivers"
PROD009,USB-C Hub 7-in-1,Electronics,Accessories,49.99,in_stock,4.3,12,true,Multi-port USB-C hub with HDMI and card reader,"Ports not recognized,overheating,intermittent connection","1. Try different USB-C port 2. Update drivers 3. Reduce connected devices 4. Check cable"
PROD010,Noise Cancelling Headphones,Electronics,Audio,249.99,low_stock,4.6,24,true,Over-ear headphones with active noise cancellation,"ANC not working,Bluetooth issues,uncomfortable fit","1. Charge fully 2. Reset headphones 3. Adjust headband 4. Re-pair device"
PROD011,Smart Security Camera,Electronics,Smart Home,89.99,in_stock,4.2,24,true,Indoor/outdoor camera with night vision and motion alerts,"Motion alerts not working,poor video quality,offline","1. Check WiFi signal 2. Adjust sensitivity 3. Clean lens 4. Check subscription status"
PROD012,Fitness Tracker Band,Electronics,Wearables,79.99,in_stock,4.1,12,true,Basic fitness tracker with heart rate and sleep tracking,"Heart rate inaccurate,band broken,won't sync","1. Wear tighter 2. Clean sensor 3. Force sync in app 4. Contact for band replacement"
PROD013,Bluetooth Speaker Portable,Electronics,Audio,69.99,in_stock,4.4,12,true,Waterproof portable speaker with 12hr battery,"Won't turn on,distorted sound,won't pair","1. Charge fully 2. Reset speaker 3. Clear paired devices 4. Check for water damage"
PROD014,Smart Thermostat,Electronics,Smart Home,179.99,in_stock,4.5,36,true,WiFi thermostat with learning capabilities and app control,"Not heating/cooling,schedule issues,WiFi disconnect","1. Check HVAC system 2. Verify wiring 3. Reset schedules 4. Reconnect to WiFi"
PROD015,Wireless Charging Pad,Electronics,Accessories,29.99,in_stock,4.3,12,true,Fast wireless charging pad for Qi-enabled devices,"Slow charging,phone not detected,overheating","1. Remove phone case 2. Center phone on pad 3. Check power adapter 4. Clean pad surface"
PROD016,Smart Light Bulbs (4-pack),Electronics,Smart Home,49.99,in_stock,4.2,24,true,Color-changing smart bulbs with voice control,"Won't connect,colors wrong,flickering","1. Power cycle bulb 2. Reset to pairing mode 3. Check hub connection 4. Update firmware"
PROD017,Tablet Stand Adjustable,Office,Accessories,34.99,in_stock,4.5,12,true,Multi-angle adjustable stand for tablets and phones,"Won't stay in position,rubber feet falling off,wobbly","1. Tighten adjustment knob 2. Contact for replacement feet 3. Place on flat surface"
PROD018,Webcam HD 1080p,Electronics,Peripherals,79.99,in_stock,4.4,24,true,Full HD webcam with built-in microphone and privacy cover,"Blurry image,no microphone,not detected","1. Clean lens 2. Check privacy cover 3. Update drivers 4. Try different USB port"
PROD019,Smart Doorbell Camera,Electronics,Smart Home,149.99,in_stock,4.3,24,true,Video doorbell with two-way audio and motion detection,"No notifications,poor video at night,chime not working","1. Check app notification settings 2. Adjust motion zones 3. Pair chime again 4. Check WiFi"
PROD020,Cable Management Kit,Office,Accessories,19.99,in_stock,4.6,6,true,Complete kit for organizing desk cables,"Adhesive not sticking,clips breaking,not enough pieces","1. Clean surface before applying 2. Contact for replacement 3. Order additional kit"
